time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
134,-799.5126616152766,20,-27.91959736200061,-594.5158603819153,0,-535.3044850870867
135,-800.0,20,-1.4695761589768238e-13,-565.6854249492378,0,-565.6854249492383
136,-799.5126616152766,20,27.919597362001024,-535.3044850870871,0,-594.5158603819149
137,-798.0512402078595,20,55.805178995300174,-503.45631283987035,0,-621.7167691655764
138,-795.6175162946187,20,83.62277061412239,-470.2282018339788,0,-647.2135954999578
139,-792.2144549932563,20,111.33848076805238,-435.71122801202176,0,-670.9364543563391
140,-787.8462024097665,20,138.91854213354398,-399.9999999999999,0,-692.820323027551
141,-782.5180805870444,20,166.32935265420755,-363.1923997916371,0,-712.8052193506945
142,-776.2365810207973,20,193.53751647973397,-325.38931446064095,0,-730.8363661140804
143,-769.009356750655,20,220.5098846535995,-286.69435963624073,0,-746.8643411977612
144,-760.8452130361229,20,247.2135954999578,-247.21359549995827,0,-760.8452130361227
145,-751.7540966287266,20,273.6161146605352,-207.05523608201673,0,-772.7406610312546
146,-741.74708365343,20,299.68527473272957,-166.32935265420736,0,-782.5180805870446
147,-730.8363661140809,20,325.3893144606398,-125.14757203218431,0,-790.1506724761102
148,-719.0352370393337,20,350.6969174312619,-83.62277061412358,0,-795.6175162946186
149,-706.3580742871417,20,375.57725022871233,-41.868764994355644,0,-798.9036278036591
150,-692.8203230275509,20,400.0000000000001,-3.4290110376125887e-13,0,-800.0
151,-678.4384769251409,20,423.9354113865637,41.868764994354954,0,-798.9036278036591
152,-663.2300580440333,20,447.3543227765976,83.6227706141229,0,-795.6175162946187
153,-647.213595499958,20,470.22820183397835,125.14757203218505,0,-790.1506724761101
154,-630.4086028853774,20,492.5291802605268,166.32935265420667,0,-782.5180805870447
155,-612.8355544951825,20,514.2300877492314,207.05523608201605,0,-772.7406610312548
156,-594.5158603819157,20,535.3044850870863,247.2135954999576,0,-760.845213036123
157,-575.471840270921,20,555.7266963671977,286.6943596362401,0,-746.8643411977615
158,-555.7266963671981,20,575.4718402709207,325.38931446064026,0,-730.8363661140806
159,-535.3044850870865,20,594.5158603819154,363.19239979163774,0,-712.8052193506942
160,-514.2300877492316,20,612.8355544951822,399.9999999999993,0,-692.8203230275514
