time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
114,-371.57241273869715,20,-334.56530317942907,-475.5282581475767,0,154.5084971874739
115,-383.02222155948897,20,-321.3938048432697,-482.9629131445342,0,129.4095225512604
116,-394.00537680336106,20,-307.83073766282905,-489.07380036690284,0,103.95584540887955
117,-404.50849718747367,20,-293.89262614623664,-493.8441702975689,0,78.21723252011518
118,-414.5187862775209,20,-279.5964517353733,-497.2609476841366,0,52.264231633827215
119,-424.02404807821296,20,-264.9596321166025,-499.3147673772869,0,26.167978121472245
120,-433.0127018922192,20,-250.00000000000023,-500.0,0,1.8369701987210297e-13
121,-441.4737964294635,20,-234.73578139294537,-499.3147673772869,0,-26.16797812147188
122,-449.3970231495834,20,-219.18557339453886,-497.2609476841366,0,-52.264231633826846
123,-456.77272882130046,20,-203.36832153790004,-493.84417029756884,0,-78.21723252011569
124,-463.59192728339366,20,-187.30329670795615,-489.0738003669029,0,-103.9558454088792
125,-469.8463103929542,20,-171.01007166283426,-482.9629131445342,0,-129.40952255126007
126,-475.52825814757676,20,-154.50849718747378,-475.5282581475768,0,-154.50849718747352
127,-480.6308479691595,20,-137.81867790849944,-466.7902132486009,0,-179.18397477265012
128,-485.14786313799823,20,-120.96094779983389,-456.7727288213004,0,-203.3683215379002
129,-489.0738003669028,20,-103.9558454088799,-445.5032620941838,0,-226.99524986977363
130,-492.403876506104,20,-86.82408883346517,-433.0127018922196,0,-249.99999999999957
131,-495.1340343707851,20,-69.58655048003291,-419.3352839727122,0,-272.31951750751324
132,-497.2609476841367,20,-52.26423163382668,-404.50849718747384,0,-293.8926261462364
133,-498.7820251299121,20,-34.87823687206279,-388.57298072848545,0,-314.6601955249187
134,-499.6954135095479,20,-17.44974835125038,-371.57241273869704,0,-334.5653031794292
135,-500.0,20,-9.184850993605149e-14,-353.5533905932736,0,-353.55339059327395
136,-499.6954135095479,20,17.44974835125064,-334.56530317942946,0,-371.5724127386968
137,-498.78202512991214,20,34.87823687206261,-314.66019552491895,0,-388.5729807284852
138,-497.2609476841367,20,52.26423163382649,-293.89262614623675,0,-404.5084971874736
139,-495.1340343707852,20,69.58655048003273,-272.3195175075136,0,-419.335283972712
140,-492.40387650610404,20,86.82408883346498,-249.99999999999991,0,-433.01270189221935
141,-489.0738003669028,20,103.95584540887972,-226.99524986977318,0,-445.50326209418404
142,-485.1478631379983,20,120.96094779983373,-203.36832153790058,0,-456.7727288213003
143,-480.6308479691594,20,137.8186779084997,-179.18397477265046,0,-466.79021324860076
144,-475.5282581475768,20,154.5084971874736,-154.50849718747392,0,-475.5282581475767
145,-469.84631039295414,20,171.0100716628345,-129.40952255126047,0,-482.9629131445341
146,-463.5919272833937,20,187.30329670795598,-103.95584540887958,0,-489.07380036690284
147,-456.7727288213005,20,203.36832153789987,-78.2172325201152,0,-493.8441702975689
